,seconds,x,y,z,speed,acceleration,degrees
0,1398782514.9587314,19.6375,119.51899999999999,1.0555328,0.0,0.0,180.76307574721844
1,1398782515.009004,19.6375,119.51899999999999,1.0555328,0.0,0.0,180.7669378494028
2,1398782515.1094737,19.6375,119.51899999999999,1.0555328,0.0,0.0,179.90791061059255
3,1398782515.2100096,19.6375,119.51899999999999,1.0555328,0.0,0.0,178.95949866064277
4,1398782515.3105545,19.6375,119.51899999999999,1.0555328,0.0,0.0,178.2928714404307
5,1398782515.41112,19.6375,119.51899999999999,1.0555328,0.0,0.0,177.98348146793413
6,1398782515.5116754,19.6375,119.51899999999999,1.0555328,0.0,0.0,177.95965534221156
7,1398782515.61223,19.6375,119.51899999999999,1.0555328,0.0,0.0,178.05602861786804
8,1398782515.712739,19.6375,119.51899999999999,1.0555328,0.0,0.0,178.19715815226752
9,1398782515.813296,19.6375,119.51899999999999,1.0555328,0.0,0.0,178.30234308428095
10,1398782515.9138281,19.6375,119.51899999999999,1.0555328,0.0,0.0,178.23638881498877
11,1398782516.0043862,19.6375,119.51899999999999,1.0555328,0.0,0.0,177.75466341104047
12,1398782516.1049664,19.6375,119.51899999999999,1.0555328,0.0,0.0,176.66310401985467
13,1398782516.2055268,19.6375,119.51899999999999,1.0555328,0.0,0.0,174.90265952371777
14,1398782516.30608,19.6375,119.51899999999999,1.0555328,0.0,0.0,172.68490156449306
15,1398782516.4066274,19.6375,119.51899999999999,1.0555328,0.0,0.0,170.3293395446075
16,1398782516.5071585,19.6375,119.51899999999999,1.0555328,0.0,0.0,168.27927110023532
17,1398782516.6077046,19.6375,119.51899999999999,1.0555328,0.0,0.0,166.99828961732368
18,1398782516.711859,19.6375,119.51899999999999,1.0555328,0.0,0.0,166.98443268934696
19,1398782516.8124733,19.6375,119.51899999999999,1.0555328,0.0,0.0,168.72050037790729
20,1398782516.9130185,19.6375,119.51899999999999,1.0555328,0.0,0.0,172.56852246618527
21,1398782517.0034897,19.6375,119.51899999999999,1.0555328,0.0,0.0,178.59382454699087
22,1398782517.1040618,19.6375,119.51899999999999,1.0555328,0.0,0.0,186.38095770101708
23,1398782517.2046328,19.6375,119.51899999999999,1.0555328,0.0,0.0,195.02991446142482
24,1398782517.3051755,19.6375,119.51899999999999,1.0555328,0.0,0.0,203.2747808712188
25,1398782517.4057386,19.6375,119.51899999999999,1.0555328,0.0,0.0,209.95442792990897
26,1398782517.5062883,19.6375,119.51899999999999,1.0555328,0.0,0.0,214.1761230981765
27,1398782517.6067576,19.6375,119.51899999999999,1.0555328,0.0,0.0,216.0770360446917
28,1398782517.7074492,19.6375,119.51899999999999,1.0555328,0.0,0.0,216.36728665263757
29,1398782517.8079762,19.6375,119.51899999999999,1.0555328,0.0,0.0,215.90288954221884
30,1398782517.9085052,19.6375,119.51899999999999,1.0555328,0.0,0.0,215.18278657722715
31,1398782518.009041,19.6375,119.51899999999999,1.0555328,0.0,0.0,214.425892045122
32,1398782518.1096072,19.6375,119.51899999999999,1.0555328,0.0,0.0,213.6946834712496
33,1398782518.2101436,19.6375,119.51899999999999,1.0555328,0.0,0.0,213.26428302929642
34,1398782518.310641,19.6375,119.51899999999999,1.0555328,0.0,0.0,212.99879175892713
35,1398782518.4112253,19.6375,119.51899999999999,1.0555328,0.0,0.0,212.52558712956554
36,1398782518.5117393,19.6375,119.51899999999999,1.0555328,0.0,0.0,211.16178902849788
37,1398782518.6123292,19.6375,119.51899999999999,1.0555328,0.0,0.2211455237314927,208.1959732580802
38,1398782518.7128844,19.6375,119.51899999999999,1.0555328,0.02223732827746168,0.37229275515472104,203.1007696308091
39,1398782518.8134391,19.6395,119.52,1.0555328,0.059673116321387366,0.39599806116566133,195.77834559730962
40,1398782518.913987,19.6455,119.52,1.0555328,0.09948984642470654,0.22383229936263213,186.64470300966215
41,1398782519.0044484,19.6545,119.52,1.0555328,0.11973805030336387,0.18751199358555262,176.57142817694148
42,1398782519.1050146,19.6665,119.521,1.0555328,0.13859540934418543,0.40510320054794385,166.6703993821258
43,1398782519.2055657,19.6804,119.522,1.0555328,0.17932899327264912,0.29579355140807806,158.00228482356425
44,1398782519.3060946,19.6984,119.523,1.0555328,0.20906481002738714,0.2871773250072385,151.31539218391998
45,1398782519.4066558,19.7194,119.524,1.0555328,0.23794368977736546,0.12331919306371998,146.87804309281904
46,1398782519.5071876,19.7433,119.525,1.0555328,0.25034119226322277,0.45254099665753916,144.50289066271557
47,1398782519.6113527,19.7693,119.527,1.0555328,0.29748016012050704,0.016081048707782025,143.63414107564344
48,1398782519.7119198,19.7992,119.52799999999999,1.0555328,0.2990973845931206,-0.0005080048415049447,143.6068478496781
49,1398782519.8124442,19.8292,119.53,1.0555328,0.2990463176982737,0.313471129600885,143.83995630621786
50,1398782519.9129858,19.8592,119.53200000000001,1.0555328,0.3305632040028793,-0.34810313553904587,144.0250305465541
51,1398782520.003488,19.8891,119.53299999999999,1.0555328,0.29905908278710464,-0.010384567338203518,144.0807916067817
52,1398782520.1040254,19.9191,119.535,1.0555328,0.2980150464241126,0.005964918450080485,144.0563093635152
53,1398782520.20458,19.949,119.537,1.0555328,0.298614847037218,-0.004954403401703249,143.98604256071806
54,1398782520.3050997,19.979,119.538,1.0555328,0.2981168321059703,0.008245307893810633,143.90166710262926
55,1398782520.40562,20.0089,119.54,1.0555328,0.2989456535259325,-0.015321193204401933,143.80954290097998
56,1398782520.5061955,20.0389,119.542,1.0555328,0.2974047176695621,0.014543842654314363,143.75123717531633
