,speed,m0_current,m1_current,heading,acceleration,latitude,longitude,degrees
210,1.7425163844999998,0.20989660100000002,-0.1144454018,1.1864222305,0.337175878,45.3596665575,11.020597651,0.0
211,1.8621123855000001,-0.3300274732,0.4341159284,1.2047716983,0.8994487109,45.3596746183,11.0205949452,248.55555698544867
212,2.1817031995,-0.5949078064,0.7032335967,1.1951729015,-0.8375308872,45.359682282399994,11.020592721600002,246.17913053310684
213,1.8834677737,0.8379654773999999,-0.7525616014000001,1.2067307019,-0.1422377646,45.3596898438,11.020590348199999,247.42622149836927
214,1.8325411453,0.8437253612000001,-0.758413627,1.2062330981,0.0419429148,45.359697458,11.020588175899999,245.92323061358775
215,1.8471257391999998,-0.149836012,0.2510419141,1.1915498641,-0.18758261210000002,45.3597049694,11.020586023599998,245.98900903526305
216,1.7800704028,-1.5646864337000002,1.6885259352000002,1.1947151000000003,-0.1636160255,45.3597123535,11.0205836394,247.89438355138765
217,1.7215397412,1.3461358697,-1.2688612807,1.1385298592,-0.1734123473,45.3597196529,11.02058134,247.48506286444328
218,1.6595246261,0.24780035239999998,-0.1529555059,1.1451516667000001,0.09311968640000001,45.3597268179,11.020578059000002,254.60401187479152
219,1.6923122849,-1.9852508516,2.1158181927,1.1366776966,0.13364828199999998,45.3597340774,11.0205748599,253.78201922738654
220,1.7395155591999998,-0.10186175410000001,0.20230020399999998,1.1729412092,0.4086660928,45.359741517299994,11.020571417000001,254.83288732551915
221,1.8845399132,-1.7898607292,1.9173023818000001,1.210156491,-0.6714193432,45.3597487323,11.020568750699999,250.28176926246815
222,1.6453886993,0.21246067829999998,-0.11705049710000001,1.2209696673000001,-0.6310873292,45.3597557088,11.0205668191,245.4759390629133
223,1.4205831786,-0.5397429839,0.6471862933,1.2158820174,0.9790970666,45.3597632375,11.020564933900001,244.05790843850684
224,1.7685041147999998,-1.1844040417,1.3021601021,1.2463794173,0.4078961478,45.359770974300005,11.0205629004,244.7262465075207
225,1.9132546071,-0.39331187380000004,0.4984127001,1.2061292612,0.4370230043,45.359779011,11.020561383099999,240.69139380652462
226,2.0683652305,-0.2411394602,0.3438059589,1.1597071096,-0.429558314,45.3597867267,11.0205591703,246.00246074204017
227,1.9152415613999998,0.31929723239999996,-0.22559613350000002,1.149695769,0.0574237244,45.3597943293,11.0205561051,251.95820105085198
228,1.9353325242,-0.7654932679,0.8765479423999999,1.1632299986,-0.258548609,45.359801758500005,11.020552918499998,253.21590092878324
229,1.8430352937999999,-0.6339635345,0.7429141058,1.1666010556,0.5569214649,45.3598095304,11.0205498549,251.51382941416273
230,2.0407925983,0.7366658439,-0.6496414606,1.1610489051000001,-0.63634589,45.3598169766,11.0205469835,251.08761240319976
231,1.8141166603,0.8021241361,-0.7161469001,1.1905673205,-0.5527167546,45.3598241113,11.020544131400001,251.78908562883362
232,1.6171867678,-1.8832451677000002,2.0121807068,1.1765696134999999,-0.7463497379,45.359830935699996,11.020541911199999,248.0213975233791
233,1.3513835632,0.5362962091,-0.44606647920000003,1.1873867243,1.4518760766,45.3598384942,11.0205391871,249.8192739912329
234,1.8674672562999999,-0.1369784649,0.2379786827,1.194370944,0.6654345683,45.359846441,11.020536538699998,248.431487999816
235,2.1038215845,-1.4342715165,1.5560247487999999,1.1825836263,-0.4361274194,45.359854174700004,11.020534095899999,247.52946852047256
236,1.9483613504,0.8656129196,-0.7806513243000001,1.1736518569,-0.5467210125,45.3598615811,11.020531538599998,249.0488954092343
237,1.7535640833000001,-1.7567506875999999,1.8836626732,1.1708265851000002,-0.2798121972,45.3598688107,11.0205288799,250.19110054869188
238,1.6537036076,0.5228998342,-0.4324558002,1.1680262847,0.0352099913,45.359876049700006,11.020526166,250.55101421968118
239,1.6658933681,0.14850738800000002,-0.052074135199999996,1.1975221576000001,0.9022663821,45.3598837576,11.020523221600001,250.90674142583606
240,1.9864863996000002,-1.5609517993000002,1.6847315573,1.192132958,-1.1570089278,45.359890936300005,11.0205210102,247.12145955616802
241,1.5746158356,0.4611390158,-0.3697069836,1.1925257351,-0.1721673298,45.3598980082,11.020518737,247.81954457022374
242,1.5130435607,-0.4757153725,0.5821344214,1.1927964382,-0.2394310379,45.3599049524,11.0205165117,247.76828949290064
243,1.4275462587999999,-0.30927331129999996,0.4130297586,1.2146211012,-0.1586359555,45.3599118118,11.0205143182,247.73324477552484
244,1.3707869581999998,0.5903276351,-0.5009622549,1.223414465,-0.42693722450000005,45.3599184918,11.0205125418,244.8919049154198
245,1.2185955843,-0.24608181210000002,0.3488273744,1.2225404732,-0.21436687,45.359925072799996,11.020510933199999,243.7355380759289
246,1.1420133558,1.0963427159999999,-1.0150721440000001,1.186705394,-0.4968056402,45.3599313829,11.0205093773,243.85129001459717
247,0.9649704865000001,-0.25981263179999997,0.36277784840000005,1.172763286,1.2215150773,45.3599382689,11.020507070699999,248.51927844360756
248,1.3991170803,-0.4291160546,0.5347896464,1.1761899676,0.8780540683,45.35994558149999,11.0205043651,250.3040464336841
249,1.7110980344,-1.3753534794,1.49616419,1.1801662143,-0.0912575748,45.359952855699994,11.020501736500002,249.86779437444093
250,1.6783045487000001,-0.39660058159999995,0.501754018,1.2031548067,-0.29906082289999997,45.3599599822,11.0204992326,249.3589554784551
251,1.5715975297,-1.2651724767,1.3842206032,1.2312810275,-0.4600448607,45.3599669228,11.020497191199999,246.38989790724474
252,1.4076301014,0.5259841591,-0.4355894656,1.2463798843,-0.40860598020000005,45.3599737009,11.0204956641,242.69669520471143
