seconds,x,y,z
1398693202.763082257, 18.5964, 118.565, 0.0536779
1398693202.863569731, 18.5964, 118.565, 0.0536779
1398693202.964087159, 18.5964, 118.565, 0.0536779
1398693203.004273742, 18.5964, 118.565, 0.0536779
1398693203.104856643, 18.5964, 118.565, 0.0536779
1398693203.205417772, 18.5964, 118.565, 0.0536779
1398693203.305955899, 18.5964, 118.565, 0.0536779
1398693203.406502319, 18.5964, 118.565, 0.0536779
1398693203.507011532, 18.5964, 118.565, 0.0536779
1398693203.607524979, 18.5964, 118.565, 0.0536779
1398693203.708158978, 18.5964, 118.565, 0.0536779
1398693203.808676004, 18.5964, 118.565, 0.0536779
1398693203.909201525, 18.5984, 118.565, 0.0536779
1398693204.009670805, 18.6044, 118.566, 0.0536779
1398693204.110229522, 18.6134, 118.566, 0.0536779
1398693204.210759182, 18.6253, 118.567, 0.0536779
1398693204.311299660, 18.6403, 118.568, 0.0536779
1398693204.416610480, 18.6573, 118.568, 0.0536779
1398693204.517118312, 18.6783, 118.57, 0.0536779
1398693204.617636086, 18.7022, 118.571, 0.0536779
1398693204.718193186, 18.7282, 118.572, 0.0536779
1398693204.818792129, 18.7582, 118.574, 0.0536779
1398693204.919375724, 18.7911, 118.576, 0.0536779
1398693205.009922715, 18.8261, 118.578, 0.0536779
1398693205.110503697, 18.865, 118.58, 0.0536779
1398693205.211123108, 18.9059, 118.582, 0.0536779
1398693205.311713616, 18.9509, 118.584, 0.0536779
1398693205.412281600, 18.9978, 118.587, 0.0536779
1398693205.512880698, 19.0477, 118.589, 0.0536779
1398693205.613407014, 19.0977, 118.591, 0.0536779
1398693205.713963855, 19.1476, 118.594, 0.0536779
1398693205.814521773, 19.1974, 118.597, 0.0536035
1398693205.915039054, 19.237, 118.659, 0.0487941
1398693206.005548832, 19.2869, 118.662, 0.0487941
1398693206.106052185, 19.3368, 118.664, 0.0487941
1398693206.206570286, 19.3868, 118.667, 0.0487941
1398693206.307155866, 19.4367, 118.669, 0.0487941
1398693206.407786127, 19.4549, 118.688, 0.0394978
1398693206.508344822, 19.5049, 118.69, 0.0394978
1398693206.608876972, 19.5548, 118.692, 0.0394978
1398693206.709410144, 19.6048, 118.694, 0.0394978
1398693206.810049878, 19.6323, 118.685, 0.0316223
1398693206.910579435, 19.6823, 118.687, 0.0316223
1398693207.001109448, 19.7313, 118.688, 0.0316223
1398693207.101580917, 19.7822, 118.69, 0.0316223
1398693207.202098165, 19.8133, 118.694, 0.0251144
1398693207.311985955, 19.8481, 118.698, 0.0199156
1398693207.412546707, 19.8971, 118.699, 0.0199156
1398693207.513153034, 19.9471, 118.7, 0.0199156
1398693207.613623048, 19.998, 118.701, 0.0199156
1398693207.714170861, 20.0243, 118.712, 0.0146079
1398693207.814745634, 20.0743, 118.713, 0.0146079
1398693207.915313537, 20.1243, 118.713, 0.0146079
1398693208.005779010, 20.1753, 118.714, 0.0146079
1398693208.106321739, 20.2128, 118.712, 0.015316
1398693208.206901435, 20.2618, 118.713, 0.015316
1398693208.307429106, 20.3118, 118.713, 0.015316
1398693208.407983920, 20.3618, 118.714, 0.015316
1398693208.508565887, 20.4087, 118.714, 0.0144026
1398693208.609135736, 20.4438, 118.707, 0.00987814
1398693208.709649398, 20.4938, 118.708, 0.00987814
1398693208.810112429, 20.5438, 118.708, 0.00987814
1398693208.910584825, 20.5938, 118.709, 0.00987814
1398693209.001087376, 20.6376, 118.711, 0.0111582
1398693209.101658372, 20.6876, 118.712, 0.0111582
1398693209.202207135, 20.7376, 118.712, 0.0111582
1398693209.302740597, 20.7876, 118.713, 0.0111582
1398693209.403308849, 20.8178, 118.715, 0.0144306
1398693209.503888264, 20.8678, 118.716, 0.0144306
1398693209.604472129, 20.9178, 118.717, 0.0144306
1398693209.705049936, 20.9678, 118.717, 0.0144306
1398693209.805530921, 21.0122, 118.716, 0.0138964
1398693209.906097402, 21.0435, 118.711, 0.0122332
1398693210.006658852, 21.0945, 118.712, 0.0122332
1398693210.107232798, 21.1445, 118.713, 0.0122332
1398693210.208050885, 21.1935, 118.713, 0.0122332
1398693210.308585149, 21.1888, 118.712, 0.011181
1398693210.409145341, 21.2388, 118.714, 0.0286343
1398693210.509692294, 21.2898, 118.716, 0.0460876
1398693210.610212717, 21.3388, 118.719, 0.0809941
1398693210.710782639, 21.381, 118.721, 0.115058
1398693210.811338868, 21.4264, 118.727, 0.149477
1398693210.911909037, 21.4753, 118.734, 0.166931
1398693211.002399532, 21.5243, 118.743, 0.184384
1398693211.102967765, 21.5687, 118.751, 0.184031
1398693211.203578619, 21.6039, 118.759, 0.18316
1398693211.304089413, 21.6529, 118.769, 0.18316
1398693211.404645094, 21.7018, 118.777, 0.18316
1398693211.505123068, 21.748, 118.785, 0.182459
1398693211.605673219, 21.7814, 118.788, 0.178375
1398693211.706183406, 21.8304, 118.797, 0.178375
1398693211.806741980, 21.8793, 118.806, 0.178375
1398693211.907291860, 21.9293, 118.815, 0.178375
1398693212.007876230, 21.9598, 118.813, 0.173376
1398693212.108362794, 22.0088, 118.822, 0.173376
1398693212.208887634, 22.0578, 118.831, 0.173376
1398693212.309425364, 22.1068, 118.84, 0.173376
1398693212.410012593, 22.1641, 118.844, 0.171004
1398693212.510573949, 22.2172, 118.851, 0.16985
1398693212.611127303, 22.2662, 118.86, 0.16985
1398693212.711680717, 22.3163, 118.868, 0.16985
1398693212.812345319, 22.3591, 118.875, 0.169404
1398693212.913130651, 22.3801, 118.875, 0.167393
1398693213.003607154, 22.4292, 118.884, 0.167393
1398693213.108647660, 22.4782, 118.892, 0.167393
1398693213.209155405, 22.5283, 118.9, 0.167393
