seconds,x,y,z
1398776275.046999870, 18.5956, 118.52, 0.0487989
1398776275.147594078, 18.5956, 118.52, 0.0487989
1398776275.248096285, 18.5956, 118.52, 0.0487989
1398776275.348632707, 18.5956, 118.52, 0.0487989
1398776275.449192647, 18.5956, 118.52, 0.0487989
1398776275.549771594, 18.5956, 118.52, 0.0487989
1398776275.650289531, 18.5956, 118.52, 0.0487989
1398776275.750807110, 18.5956, 118.52, 0.0487989
1398776275.851377826, 18.5956, 118.52, 0.0487989
1398776275.951884489, 18.5956, 118.52, 0.0487989
1398776276.002147984, 18.5956, 118.52, 0.0487989
1398776276.102754801, 18.5956, 118.52, 0.0487989
1398776276.203346727, 18.5956, 118.52, 0.0487989
1398776276.303836094, 18.5956, 118.52, 0.0487989
1398776276.404406396, 18.5956, 118.52, 0.0487989
1398776276.504910965, 18.5956, 118.52, 0.0487989
1398776276.605492063, 18.5956, 118.52, 0.0487989
1398776276.709889886, 18.5956, 118.52, 0.0487989
1398776276.810498971, 18.5956, 118.52, 0.0487989
1398776276.911055230, 18.5956, 118.52, 0.0487989
1398776277.001576258, 18.5956, 118.52, 0.0487989
1398776277.102075947, 18.5956, 118.52, 0.0487989
1398776277.202677260, 18.5956, 118.52, 0.0487989
1398776277.303198607, 18.5956, 118.52, 0.0487989
1398776277.403839574, 18.5956, 118.52, 0.0487989
1398776277.504421033, 18.5956, 118.52, 0.0487989
1398776277.605035696, 18.5976, 118.52, 0.0487989
1398776277.705602019, 18.6036, 118.52, 0.0487989
1398776277.806235002, 18.6126, 118.521, 0.0487989
1398776277.906817560, 18.6236, 118.521, 0.0487989
1398776278.007389835, 18.6386, 118.522, 0.0487989
1398776278.107995712, 18.6566, 118.523, 0.0487989
1398776278.208540424, 18.6775, 118.524, 0.0487989
1398776278.309101696, 18.7015, 118.525, 0.0487989
1398776278.409673718, 18.7275, 118.526, 0.0487989
1398776278.510201191, 18.7575, 118.528, 0.0487989
1398776278.610762892, 18.7874, 118.529, 0.0487989
1398776278.711386696, 18.8174, 118.531, 0.0487989
1398776278.811933321, 18.8473, 118.532, 0.0487989
1398776278.912483965, 18.8773, 118.533, 0.0487989
1398776279.003021859, 18.9073, 118.535, 0.0487989
1398776279.103576315, 18.9372, 118.536, 0.0487989
1398776279.204093870, 18.9672, 118.538, 0.0487989
1398776279.304646636, 18.9972, 118.539, 0.0487989
1398776279.405197130, 19.0271, 118.541, 0.0487989
1398776279.505762089, 19.0571, 118.542, 0.0487989
1398776279.611459554, 19.091, 118.56, 0.0496453
1398776279.712050139, 19.1209, 118.561, 0.0496453
1398776279.812623887, 19.1509, 118.563, 0.0496453
1398776279.913199225, 19.1809, 118.564, 0.0496453
1398776280.003686943, 19.2108, 118.566, 0.0496453
1398776280.104236197, 19.2408, 118.567, 0.0496453
1398776280.204792918, 19.2705, 118.576, 0.0490453
