seconds,x,y,z
1398782513.958731768, 18.6375, 118.519, 0.0555328
1398782514.009004185, 18.6375, 118.519, 0.0555328
1398782514.109473458, 18.6375, 118.519, 0.0555328
1398782514.210009744, 18.6375, 118.519, 0.0555328
1398782514.310554545, 18.6375, 118.519, 0.0555328
1398782514.411119804, 18.6375, 118.519, 0.0555328
1398782514.511675582, 18.6375, 118.519, 0.0555328
1398782514.612229929, 18.6375, 118.519, 0.0555328
1398782514.712738893, 18.6375, 118.519, 0.0555328
1398782514.813296245, 18.6375, 118.519, 0.0555328
1398782514.913827926, 18.6375, 118.519, 0.0555328
1398782515.004386453, 18.6375, 118.519, 0.0555328
1398782515.104966310, 18.6375, 118.519, 0.0555328
1398782515.205526711, 18.6375, 118.519, 0.0555328
1398782515.306080070, 18.6375, 118.519, 0.0555328
1398782515.406627181, 18.6375, 118.519, 0.0555328
1398782515.507158621, 18.6375, 118.519, 0.0555328
1398782515.607704628, 18.6375, 118.519, 0.0555328
1398782515.711858816, 18.6375, 118.519, 0.0555328
1398782515.812473199, 18.6375, 118.519, 0.0555328
1398782515.913018653, 18.6375, 118.519, 0.0555328
1398782516.003489961, 18.6375, 118.519, 0.0555328
1398782516.104061867, 18.6375, 118.519, 0.0555328
1398782516.204632616, 18.6375, 118.519, 0.0555328
1398782516.305175578, 18.6375, 118.519, 0.0555328
1398782516.405738513, 18.6375, 118.519, 0.0555328
1398782516.506288499, 18.6375, 118.519, 0.0555328
1398782516.606757745, 18.6375, 118.519, 0.0555328
1398782516.707449204, 18.6375, 118.519, 0.0555328
1398782516.807976098, 18.6375, 118.519, 0.0555328
1398782516.908505251, 18.6375, 118.519, 0.0555328
1398782517.009040753, 18.6375, 118.519, 0.0555328
1398782517.109607326, 18.6375, 118.519, 0.0555328
1398782517.210143703, 18.6375, 118.519, 0.0555328
1398782517.310641310, 18.6375, 118.519, 0.0555328
1398782517.411225313, 18.6375, 118.519, 0.0555328
1398782517.511739366, 18.6375, 118.519, 0.0555328
1398782517.612329248, 18.6375, 118.519, 0.0555328
1398782517.712884515, 18.6375, 118.519, 0.0555328
1398782517.813439253, 18.6395, 118.52, 0.0555328
1398782517.913987010, 18.6455, 118.52, 0.0555328
1398782518.004448377, 18.6545, 118.52, 0.0555328
1398782518.105014668, 18.6665, 118.521, 0.0555328
1398782518.205565527, 18.6804, 118.522, 0.0555328
1398782518.306094783, 18.6984, 118.523, 0.0555328
1398782518.406655544, 18.7194, 118.524, 0.0555328
1398782518.507187478, 18.7433, 118.525, 0.0555328
1398782518.611352842, 18.7693, 118.527, 0.0555328
1398782518.711919576, 18.7992, 118.528, 0.0555328
1398782518.812443998, 18.8292, 118.53, 0.0555328
1398782518.912986064, 18.8592, 118.532, 0.0555328
1398782519.003488050, 18.8891, 118.533, 0.0555328
