seconds,x,y,z
1398854622.650816644, 18.5227, 118.779, -0.164565
1398854622.751349219, 18.5227, 118.779, -0.164565
1398854622.851939837, 18.5227, 118.779, -0.164565
1398854622.952493983, 18.5227, 118.779, -0.164565
1398854623.002777550, 18.5227, 118.779, -0.164565
1398854623.103342043, 18.5227, 118.779, -0.164565
1398854623.203917084, 18.5227, 118.779, -0.164565
1398854623.304418104, 18.5227, 118.779, -0.164565
1398854623.404958779, 18.5227, 118.779, -0.164565
1398854623.505513616, 18.5227, 118.779, -0.164565
1398854623.606067561, 18.5227, 118.779, -0.164565
1398854623.706600158, 18.5227, 118.779, -0.164565
1398854623.807173698, 18.5227, 118.779, -0.164565
1398854623.907681827, 18.5227, 118.779, -0.164565
1398854624.008260424, 18.5227, 118.779, -0.164565
1398854624.108803213, 18.5227, 118.779, -0.164565
1398854624.209353570, 18.5227, 118.779, -0.164565
1398854624.309913672, 18.5227, 118.779, -0.164565
1398854624.418578253, 18.5227, 118.779, -0.164565
1398854624.519218381, 18.5227, 118.779, -0.164565
1398854624.619735544, 18.5227, 118.779, -0.164565
1398854624.720316542, 18.5227, 118.779, -0.164565
1398854624.820870571, 18.5227, 118.779, -0.164565
1398854624.921373034, 18.5227, 118.779, -0.164565
1398854625.001839732, 18.5227, 118.779, -0.164565
1398854625.102398992, 18.5227, 118.779, -0.164565
1398854625.202937837, 18.5227, 118.779, -0.164565
1398854625.303474709, 18.5227, 118.779, -0.164565
1398854625.404044297, 18.5227, 118.779, -0.164565
1398854625.504531491, 18.5227, 118.779, -0.164565
1398854625.605099836, 18.5227, 118.779, -0.164565
1398854625.705652913, 18.5227, 118.779, -0.164565
1398854625.806196004, 18.5227, 118.779, -0.164565
1398854625.906684878, 18.5227, 118.779, -0.164565
1398854626.007290996, 18.5227, 118.779, -0.164565
1398854626.107800876, 18.5227, 118.779, -0.164565
1398854626.208449246, 18.5227, 118.779, -0.164565
1398854626.308891918, 18.5227, 118.779, -0.164565
1398854626.409440452, 18.5227, 118.779, -0.164565
1398854626.510049949, 18.5227, 118.779, -0.164565
1398854626.610549413, 18.5227, 118.779, -0.164565
1398854626.711092944, 18.5227, 118.779, -0.164565
1398854626.811627108, 18.5227, 118.779, -0.164565
1398854626.912138539, 18.5227, 118.779, -0.164565
1398854627.002630830, 18.5227, 118.779, -0.164565
1398854627.103228510, 18.5227, 118.779, -0.164565
1398854627.203767385, 18.5227, 118.779, -0.164565
1398854627.309963226, 18.5227, 118.779, -0.164565
1398854627.410499013, 18.5227, 118.779, -0.164565
1398854627.511058077, 18.5227, 118.779, -0.164565
1398854627.611635874, 18.5227, 118.779, -0.164565
1398854627.712215627, 18.5227, 118.779, -0.164565
1398854627.812762421, 18.5227, 118.779, -0.164565
1398854627.913267263, 18.5227, 118.779, -0.164565
1398854628.003764603, 18.5227, 118.779, -0.164565
1398854628.104367634, 18.5227, 118.779, -0.164565
1398854628.204925286, 18.5227, 118.779, -0.164565
1398854628.305465241, 18.5227, 118.779, -0.164565
1398854628.406034157, 18.5227, 118.779, -0.164565
1398854628.506595379, 18.5227, 118.779, -0.164565
1398854628.607162319, 18.5227, 118.779, -0.164565
1398854628.707734334, 18.5227, 118.779, -0.164565
1398854628.808292291, 18.5227, 118.779, -0.164565
1398854628.908881626, 18.5227, 118.779, -0.164565
1398854629.009441844, 18.5227, 118.779, -0.164565
1398854629.109981812, 18.5227, 118.779, -0.164565
1398854629.210545180, 18.5227, 118.779, -0.164565
1398854629.311022166, 18.5227, 118.779, -0.164565
1398854629.411542914, 18.5227, 118.779, -0.164565
1398854629.512103846, 18.5227, 118.779, -0.164565
1398854629.612683775, 18.5227, 118.779, -0.164565
1398854629.713232074, 18.5227, 118.779, -0.164565
1398854629.813771547, 18.5227, 118.779, -0.164565
1398854629.914273205, 18.5227, 118.779, -0.164565
1398854630.004763780, 18.5227, 118.779, -0.164565
1398854630.105285114, 18.5227, 118.779, -0.164565
1398854630.210221760, 18.5227, 118.779, -0.164565
1398854630.310776526, 18.5227, 118.779, -0.164565
1398854630.411294903, 18.5227, 118.779, -0.164565
1398854630.511894917, 18.5227, 118.779, -0.164565
1398854630.612478860, 18.5227, 118.779, -0.164565
1398854630.713068539, 18.5227, 118.779, -0.164565
1398854630.813639978, 18.5227, 118.779, -0.164565
1398854630.914219184, 18.5227, 118.779, -0.164565
1398854631.004699857, 18.5227, 118.779, -0.164565
1398854631.105236645, 18.5227, 118.779, -0.164565
1398854631.205755414, 18.5227, 118.779, -0.164565
1398854631.306303009, 18.5227, 118.779, -0.164565
1398854631.406883348, 18.5227, 118.779, -0.164565
1398854631.507409145, 18.5227, 118.779, -0.164565
1398854631.607956692, 18.5227, 118.779, -0.164565
1398854631.708527892, 18.5227, 118.779, -0.164565
1398854631.809040727, 18.5227, 118.779, -0.164565
1398854631.909571105, 18.5227, 118.779, -0.164565
1398854632.000038330, 18.5227, 118.779, -0.164565
1398854632.100621226, 18.5227, 118.779, -0.164565
1398854632.201170019, 18.5227, 118.779, -0.164565
1398854632.301759852, 18.5227, 118.779, -0.164565
1398854632.402324898, 18.5227, 118.779, -0.164565
1398854632.502834490, 18.5227, 118.779, -0.164565
1398854632.603378739, 18.5227, 118.779, -0.164565
1398854632.703922097, 18.5227, 118.779, -0.164565
