,seconds,x,y,z,speed,acceleration,degrees
0,1398846692.0096798,19.6233,119.527,1.080791,0.0,0.0,180.8469180796566
1,1398846692.110225,19.6233,119.527,1.080791,0.0,0.0,180.8766313735415
2,1398846692.210808,19.6233,119.527,1.080791,0.0,0.0,180.07915934071804
3,1398846692.3113706,19.6233,119.527,1.080791,0.0,0.0,179.09737357041092
4,1398846692.4119742,19.6233,119.527,1.080791,0.0,0.0,178.27937786310264
5,1398846692.5125012,19.6233,119.527,1.080791,0.0,0.0,177.74621463841993
6,1398846692.613098,19.6233,119.527,1.080791,0.0,0.0,177.59234266888018
7,1398846692.7136567,19.6233,119.527,1.080791,0.0,0.0,177.791775942276
8,1398846692.8142304,19.6233,119.527,1.080791,0.0,0.0,178.42824373560538
9,1398846692.9147985,19.6233,119.527,1.080791,0.0,0.0,179.1478488794439
10,1398846693.0053654,19.6233,119.527,1.080791,0.0,0.0,179.93971008157905
11,1398846693.1059287,19.6233,119.527,1.080791,0.0,0.0,180.34224477720963
12,1398846693.2065296,19.6233,119.527,1.080791,0.0,0.0,179.83761814049947
13,1398846693.3071434,19.6233,119.527,1.080791,0.0,0.0,177.64020241139497
14,1398846693.4077256,19.6233,119.527,1.080791,0.0,0.0,173.6788364239914
15,1398846693.5082142,19.6233,119.527,1.080791,0.0,0.0,168.55707528275454
16,1398846693.608757,19.6233,119.527,1.080791,0.0,0.0,164.24977147428072
17,1398846693.709312,19.6233,119.527,1.080791,0.0,0.0,161.59115983111172
18,1398846693.8099248,19.6233,119.527,1.080791,0.0,0.0,161.04146369379038
19,1398846693.9104674,19.6233,119.527,1.080791,0.0,0.0,162.7285112773343
20,1398846694.000998,19.6233,119.527,1.080791,0.0,0.0,167.14496470261378
21,1398846694.101551,19.6233,119.527,1.080791,0.0,0.0,174.53317500920951
22,1398846694.2021463,19.6233,119.527,1.080791,0.0,0.0,184.5648077629743
23,1398846694.3027327,19.6233,119.527,1.080791,0.0,0.0,195.417852145893
24,1398846694.4033022,19.6233,119.527,1.080791,0.0,0.0,205.44863761532883
25,1398846694.503871,19.6233,119.527,1.080791,0.0,0.0,212.8513447908942
26,1398846694.604384,19.6233,119.527,1.080791,0.0,0.0,217.28370401071112
27,1398846694.7048213,19.6233,119.527,1.080791,0.0,0.0,218.98671079710172
28,1398846694.805417,19.6233,119.527,1.080791,0.0,0.0,218.46258408616825
